2026-04-13T15:48:26.6689796+03:00 | Bilgi | Interface XML Data: {"RetryCounter":3,"IpRetryCount":1,"AckTimeOut":1500,"CommTimeOut":10000,"InterCharacterTimeOut":100,"PortName":"\\\\.\\COM5","BaudRate":115200,"ByteSize":8,"fParity":0,"Parity":0,"StopBit":0,"IsTcpConnection":1,"IP":"192.168.2.13","Port":7500,"IsTcpKeepAlive":1}
2026-04-13T15:48:26.6694281+03:00 | Bilgi | Mevcut Ingenico interface bulundu. Handle: 652162138
2026-04-13T15:48:26.7936595+03:00 | Bilgi | Json_FP3_UpdateInterfaceXmlDataByID retcode: 0
2026-04-13T15:48:26.8034101+03:00 | Bilgi | FP3_GetInterfaceHandleByID retcode after create: 0
2026-04-13T15:48:27.5826230+03:00 | Bilgi | Json_FP3_FunctionGetHandleList retcode: 2309
2026-04-13T15:48:27.5832692+03:00 | Bilgi | Ingenico ECHO kontrolü çalıştırılıyor.
2026-04-13T15:48:28.3605918+03:00 | Bilgi | Json_FP3_Echo retcode: 0
2026-04-13T15:48:28.3608314+03:00 | Bilgi | Ingenico ECHO başarılı.
2026-04-13T15:48:28.3621636+03:00 | Bilgi | Ingenico pairing başlatma çağrısı yapılıyor.
2026-04-13T15:48:28.3725296+03:00 | Bilgi | Json_FP3_StartPairingInit request: {"szProcOrderNumber":"000001","szProcDate":"260413","szProcTime":"154828","szExternalDeviceBrand":"WORLDLINE","szExternalDeviceModel":"IWE280","szExternalDeviceSerialNumber":"12344567","szEcrSerialNumber":"JHWE20000079"}
2026-04-13T15:48:28.3730109+03:00 | Bilgi | Json_FP3_StartPairingInit çağrılıyor. Cihazın pairing durumunu otomatik tamamlaması bekleniyor...
2026-04-13T15:48:33.2745313+03:00 | Bilgi | Json_FP3_StartPairingInit retcode: 0
2026-04-13T15:48:33.2762559+03:00 | Bilgi | Json_FP3_StartPairingInit response: {"ErrorCode":0,"szEcrBrand":"INGENICO       ","szEcrModel":"TEB337         ","szEcrSerialNumber":"2C52126162","szVersionNumber":"20010100","szNewVersionNumber":"21711225","szHashFirstDate":"20181129","szHashLastDate":"20301129","szHashExpireDate":"20500101"}
2026-04-13T15:48:34.4532645+03:00 | Bilgi | Json_FP3_GetTaxRates_Ex retcode: 0, Offset: 0, Received: 8, Total: 8
2026-04-13T15:48:36.9103082+03:00 | Bilgi | Json_FP3_GetDepartments_Ex retcode: 0, Offset: 0, Received: 12, Total: 12
2026-04-13T15:48:38.9379050+03:00 | Bilgi | Json_FP3_GetCurrencyProfile retcode: 0
2026-04-13T15:48:39.6708708+03:00 | Bilgi | FP3_GetCurrentHandle retcode: 2341
2026-04-13T15:48:39.6714322+03:00 | Bilgi | Pairing başlatma sinyali cihaza gönderildi.
2026-04-13T15:48:39.6734737+03:00 | Bilgi | Ingenico In-Process Task başlatılıyor. İşlem: precheck
